Timestamp,Person ID,Name,Type,Action,Similarity
2025-04-10 09:31:37,VISITOR_2,Visitor 2,VISITOR,POTENTIAL_MATCH,0.7266032
2025-04-10 09:31:39,VISITOR_2,Visitor 2,VISITOR,POTENTIAL_MATCH,0.8387065
